id,name,now_cost,position,team,starts,penalties_missed,own_goals,ep_next,influence,news,total_points,creativity_rank_type,expected_goals_conceded_per_90,influence_rank_type,goals_conceded_per_90,bonus,penalties_order,expected_goal_involvements,selected_rank_type,news_added,ict_index,value_season,expected_goals_per_90,transfers_out_event,web_name,form_rank_type,expected_assists_per_90,form,expected_assists,clean_sheets_per_90,clean_sheets,threat_rank,goals_scored,penalties_saved,minutes,threat,goals_conceded,red_cards,can_select,now_cost_rank_type,event_points,ep_this,chance_of_playing_this_round,in_dreamteam,transfers_in_event,chance_of_playing_next_round,value_form,cost_change_start,status,points_per_game_rank,cost_change_event,cost_change_start_fall,yellow_cards,transfers_in,corners_and_indirect_freekicks_order,selected_rank,ict_index_rank_type,direct_freekicks_order,influence_rank,now_cost_rank,expected_goal_involvements_per_90,creativity,points_per_game_rank_type,expected_goals,transfers_out,form_rank,region,bps,dreamteam_count,saves,saves_per_90,selected_by_percent,expected_goals_conceded,creativity_rank,cost_change_event_fall,points_per_game,assists,starts_per_90,threat_rank_type,ict_index_rank
636,Federico Chiesa,68,MID,Liverpool,0,0,0,0.5,0.2,,1,219,2.75,225,0.0,0,,0.24,145,2024-10-02T00:30:05.860798Z,1.6,0.1,0.8,118,Chiesa,318,0.4,0.0,0.08,0.0,0,319,0,0,18,15.0,0,0,True,17,0,0.8,75.0,False,109,100.0,0.0,-2,a,445,0,2,0,44546,,414,213,,472,34,1.2,0.9,218,0.16,45282,697,106.0,-1,0,0,0.0,0.1,0.55,426,0,1.0,0,0.0,175,444
660,Vítezslav Jaros,40,GKP,Liverpool,0,0,0,0.5,8.8,,1,33,1.15,36,0.0,0,,0.00,52,,0.9,0.2,0.0,260,Jaros,49,0.0,0.0,0.00,0.0,0,448,0,0,11,0.0,0,0,True,57,0,1.0,,False,49,,0.0,0,a,384,0,0,0,34653,,363,36,,433,630,0.0,0.0,35,0.00,17237,433,57.0,6,0,1,8.18,0.2,0.14,488,0,1.0,0,0.0,23,455
669,Harvey Davies,40,GKP,Liverpool,0,0,0,0.5,0.0,,0,40,0.0,62,0.0,0,,0.00,70,,0.0,0.0,0.0,31,Davies,56,0.0,0.0,0.00,0.0,0,459,0,0,0,0.0,0,0,True,64,0,1.0,,False,27,,0.0,0,a,522,0,0,0,984,,634,62,,517,642,0.0,0.0,62,0.00,535,444,241.0,0,0,0,0.0,0.0,0.00,499,0,0.0,0,0.0,30,519
688,Treymaurice Nyoni,45,MID,Liverpool,0,0,0,0.5,0.0,,0,289,0.0,285,0.0,0,,0.00,309,,0.0,0.0,0.0,16,Nyoni,257,0.0,0.0,0.00,0.0,0,631,0,0,0,0.0,0,0,True,291,0,1.0,,False,28,,0.0,0,a,655,0,0,0,217,,685,287,,649,468,0.0,0.0,289,0.00,77,609,241.0,0,0,0,0.0,0.0,0.00,646,0,0.0,0,0.0,284,651
692,Amara Nallo,40,DEF,Liverpool,0,0,0,0.5,0.0,,0,210,0.0,212,0.0,0,,0.00,229,,0.0,0.0,0.0,24,Nallo,191,0.0,0.0,0.00,0.0,0,497,0,0,0,0.0,0,0,True,221,0,1.0,,False,24,,0.0,0,a,556,0,0,0,211,,676,212,,550,682,0.0,0.0,211,0.00,92,481,241.0,0,0,0,0.0,0.0,0.00,531,0,0.0,0,0.0,199,552
340,Manuel Akanji,53,DEF,Man City,12,0,0,0.2,183.8,Pelvic - 25% chance of playing,23,22,1.42,70,1.34,0,,1.24,46,2024-12-05T00:30:08.316605Z,40.0,4.3,0.03,9229,Akanji,232,0.08,0.0,0.89,0.18,2,254,0,0,1006,43.0,15,0,True,17,0,0.2,25.0,False,23,25.0,0.0,-2,d,269,0,2,3,359021,,114,52,,175,151,0.11,172.1,83,0.35,593985,678,207.0,141,0,0,0.0,2.8,15.86,107,0,1.9,0,1.07,76,180
341,Nathan Aké,53,DEF,Man City,3,0,0,0.0,42.4,Hamstring injury - Unknown return date,9,116,2.41,127,1.81,0,,0.19,85,2024-12-05T00:30:08.334401Z,6.7,1.7,0.03,1235,Aké,66,0.02,1.4,0.08,0.3,1,337,0,0,298,11.0,6,0,True,16,0,0.0,0.0,False,28,0.0,0.3,-2,i,281,0,2,0,44183,,217,123,,357,147,0.05,13.5,87,0.11,238573,227,152.0,39,0,0,0.0,0.9,7.98,352,0,1.8,0,0.91,114,375
342,Bernardo Veiga de Carvalho e Silva,63,MID,Man City,14,0,0,4.6,269.4,,51,10,1.48,32,1.54,5,,5.24,30,,110.0,8.1,0.17,8325,Bernardo,35,0.2,3.6,2.86,0.21,3,28,1,0,1284,371.0,22,0,True,29,2,4.6,,False,2081,,0.6,-2,a,105,0,2,4,780875,4.0,99,13,,89,51,0.37,460.6,46,2.38,951393,71,173.0,277,0,0,0.0,3.5,21.17,11,0,3.2,4,0.98,16,17
343,Oscar Bobb,47,MID,Man City,0,0,0,0.0,0.0,Leg injury - Unknown return date,0,294,0.0,291,0.0,0,,0.00,192,2024-08-14T22:30:05.558994Z,0.0,0.0,0.0,67,Bobb,266,0.0,0.0,0.00,0.0,0,640,0,0,0,0.0,0,0,True,220,0,0.0,0.0,False,22,0.0,0.0,-3,i,661,0,3,0,2605,,503,292,,656,337,0.0,0.0,294,0.00,29089,620,161.0,0,0,0,0.0,0.1,0.00,653,0,0.0,0,0.0,289,657
344,Scott Carson,40,GKP,Man City,0,0,0,1.0,0.0,,0,17,0.0,42,0.0,0,,0.00,53,,0.0,0.0,0.0,152,Carson,35,0.0,0.0,0.00,0.0,0,419,0,0,0,0.0,0,0,True,41,0,1.0,,False,103,,0.0,0,a,488,0,0,0,12849,,365,42,,482,592,0.0,0.0,42,0.00,13814,404,241.0,0,0,0,0.0,0.2,0.00,461,0,0.0,0,0.0,7,484
